rating,star,title,quote,writer,director,link,year,genre
8.7,"阿尔·帕西诺,黛安·基顿,塔莉娅·夏尔",教父3 The Godfather: Part III,任何信念的力量，都无法改变命运。,"马里奥·普佐,弗朗西斯·福特·科波拉",弗朗西斯·福特·科波拉,http://www.imdb.com/title/tt0099674,1990,"剧情,犯罪"
8.5,"马特·达蒙,弗兰卡·波坦特,布莱恩·考克斯",谍影重重2 The Bourne Supremacy,谁说王家卫镜头很晃？,"托尼·吉尔罗伊,罗伯特·鲁德鲁姆",保罗·格林格拉斯,"http://www.thebournesupremacy.com,http://www.imdb.com/title/tt0372183",2004,"动作,悬疑,冒险"
8.4,"拉尔夫·费因斯,克里斯汀·斯科特·托马斯,朱丽叶·比诺什",英国病人 The English Patient,"In memory, love lives forever...","迈克尔·翁达杰,安东尼·明格拉",安东尼·明格拉,http://www.imdb.com/title/tt0116209,1996,"剧情,爱情,战争"
8.6,"亨弗莱·鲍嘉,英格丽·褒曼,保罗·亨雷德",卡萨布兰卡 Casablanca,与同名歌曲无关。,"朱利叶斯·J·爱泼斯坦,菲利普·G·爱泼斯坦,霍华德·科克,凯西·罗宾逊",迈克尔·柯蒂斯,http://www.imdb.com/title/tt0034583,1942,"剧情,爱情,战争"
8.7,"詹姆斯·沃克,特里特·威廉斯,多米尼克·斯科特·凯伊",叫我第一名 Front of the Class,乐观比一切都有力量。,"Thomas Rickman,Brad Cohen,Lisa Wysocky",彼得·沃纳,http://www.imdb.com/title/tt1292594,2008,"剧情,传记"
8.7,"本·阿弗莱克,裴淳华,尼尔·帕特里克·哈里斯",消失的爱人 Gone Girl,,吉莉安·弗琳,大卫·芬奇,http://www.imdb.com/title/tt2267998,2014,"剧情,悬疑,惊悚,犯罪"
8.7,"柳承龙,朴信惠,郑镇荣",7号房的礼物 7번방의 선물,《我是山姆》的《美丽人生》。,"李焕庆,刘英雅",李焕庆,"http://www.7gift.kr,http://www.imdb.com/title/tt2659414",2013,"剧情,喜剧,家庭"
8.5,"肖恩·康纳利,尼古拉斯·凯奇,艾德·哈里斯",勇闯夺命岛 The Rock,类型片的极致。 ,"David Weisberg,Douglas Cook,Mark Rosner",迈克尔·贝,http://www.imdb.com/title/tt0117500,1996,"动作,冒险"
8.9,"达席尔·萨法瑞,阿米尔·汗,塔奈·切赫达",地球上的星星 Taare Zameen Par,天使保护事件始末。,阿莫尔·古普特,"阿米尔·汗,阿莫尔·古普特","http://www.taarezameenpar.com,http://www.imdb.com/title/tt0986264",2007,"剧情,家庭,儿童"
8.5,"马特·达蒙,弗兰卡·波坦特,克里斯·库珀",谍影重重 The Bourne Identity,哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,"托尼·吉尔罗伊,W. Blake Herron,罗伯特·鲁德鲁姆",道格·里曼,"http://www.thebourneidentity.com,http://www.imdb.com/title/tt0258463",2002,"动作,悬疑,冒险"
